[[0.53401361 0.4659864 ]]
[[7.96655735e-12 1.00000000e+00]]

Initial_Hawk_Frequency,Final_Hawk_Frequency,Evolution_Rounds,Hawk_Extincts,Dove_Extincts,
0.8452503233822037,0.8125,1,0,0,
0.8517577755715164,0.84375,1,0,0,
0.053647306859221144,0.03125,16,0,0,
0.6137853948301287,0.0,16,1,0,
0.34260655625647807,0.3046875,16,0,0,
0.8073486003631863,0.8515625,1,0,0,
0.2402383525937949,0.2421875,16,0,0,
0.22238884055928276,0.25,16,0,0,
0.9170515683944197,0.9375,1,0,0,
0.850241895786702,0.8203125,1,0,0,
0.7230548183960869,0.0,16,1,0,
0.571775858075722,0.0,16,1,0,
0.2602916564572909,0.2578125,16,0,0,
0.618424684895137,0.0,16,1,0,
0.4497325263381031,0.4453125,16,0,0,
0.9435791522049165,0.9453125,1,0,0,
0.534487347872883,0.53125,16,0,0,
0.9945900450612366,1.0,1,0,1,
0.43657352429934426,0.34375,16,0,0,
0.5081306009644844,0.5234375,16,0,0,
0.9521940143997291,0.9453125,1,0,0,
0.4856575937100618,0.5,16,0,0,
0.5279138932084779,0.5078125,16,0,0,
0.2986479365427659,0.3046875,16,0,0,
0.6552316446190806,0.0,16,1,0,
0.8971238227483567,0.9296875,1,0,0,
0.8905126146186901,0.890625,1,0,0,
0.6976408863532374,0.0,16,1,0,
0.7502539529011232,0.0,16,1,0,
0.8378967642898897,0.84375,1,0,0,
0.9891117075152586,1.0,1,0,1,
0.05060045097985677,0.0546875,16,0,0,
0.4984407646385478,0.0,16,1,0,
0.7193687934749564,0.0,16,1,0,
0.6481936103186078,0.0,16,1,0,
0.47380486764689034,0.4921875,16,0,0,
0.7593500227824406,0.734375,1,0,0,
0.22230044623395184,0.21875,16,0,0,
0.7169002444925316,0.7421875,1,0,0,
0.23265374032296315,0.1953125,16,0,0,
0.7865874072109676,0.7890625,1,0,0,
0.5673934094036451,0.0,16,1,0,
0.6399304256431927,0.0,16,1,0,
0.038571630269920054,0.03125,16,0,0,
0.843662783731248,0.828125,1,0,0,
0.5354049876290965,0.515625,16,0,0,
0.5510403928807286,0.4765625,16,0,0,
0.31563501927184834,0.3828125,16,0,0,
0.24606862788794936,0.2265625,16,0,0,
0.8370783467497204,0.859375,1,0,0,
0.8405930508917407,0.90625,1,0,0,
0.5917387079355678,0.0,16,1,0,
0.6197500240373754,0.0,16,1,0,
0.5832641803051498,0.0,16,1,0,
0.3872895566084935,0.328125,16,0,0,
0.7214674152574461,0.0,16,1,0,
0.11135789016841813,0.09375,16,0,0,
0.003258818715620837,0.0,16,1,0,
0.1925092351736981,0.140625,16,0,0,
0.2587595582821236,0.2109375,16,0,0,
0.5216370258767817,0.5,16,0,0,
0.24518609700218363,0.203125,16,0,0,
0.2810095266045821,0.2109375,16,0,0,
0.5972760114769664,0.0,16,1,0,
0.7653203700750564,0.7578125,1,0,0,
0.5514977889089208,0.0,16,1,0,
0.4350764519963666,0.4453125,16,0,0,
0.6714057791245815,0.0,16,1,0,
0.22242531565241097,0.203125,16,0,0,
0.5402948305097528,0.0,16,1,0,
0.9935683991262123,1.0,1,0,1,
0.40277058243796526,0.453125,16,0,0,
0.877520270495834,0.90625,1,0,0,
0.20203584275448982,0.203125,16,0,0,
0.4517222205934025,0.4453125,16,0,0,
0.5177566285066874,0.0,16,1,0,
0.7585395069791033,0.78125,1,0,0,
0.3792284018790888,0.4140625,16,0,0,
0.41016864267100306,0.390625,16,0,0,
0.15024653163027823,0.1171875,16,0,0,
0.0710146946504443,0.03125,16,0,0,
0.15799730513416899,0.1953125,16,0,0,
0.617432304888574,0.0,16,1,0,
0.9129423731219262,0.9375,1,0,0,
0.5887493510782809,0.0,16,1,0,
0.27970636441193597,0.3046875,16,0,0,
0.9104745196817817,0.8984375,1,0,0,
0.7973086195174575,0.8515625,1,0,0,
0.3359014726693861,0.3671875,16,0,0,
0.8686589293352943,0.8359375,1,0,0,
0.3598457880677085,0.28125,16,0,0,
0.06795918442771454,0.0859375,16,0,0,
0.46617026992656774,0.4375,16,0,0,
0.4654919986349717,0.515625,16,0,0,
0.22127292256315934,0.109375,16,0,0,
0.34189205011386015,0.3359375,16,0,0,
0.6044730316607791,0.0,16,1,0,
0.40994454121305357,0.40625,16,0,0,
0.7950351976022799,0.8046875,1,0,0,
0.9187509465992667,0.890625,1,0,0,
0.7273920983539081,0.0,16,1,0,
0.6096221302901744,0.5234375,16,0,0,
0.9821489329713115,0.984375,1,0,0,
0.6012320938143835,0.5234375,16,0,0,
0.9229795456115808,0.921875,1,0,0,
0.5999904046933482,0.0,16,1,0,
0.3911501440854197,0.4375,16,0,0,
0.8904157397719139,0.8828125,1,0,0,
0.3209450212620558,0.3125,16,0,0,
0.7029245608565651,0.0,16,1,0,
0.5565396531695727,0.0,16,1,0,
0.7194928182066215,0.8125,1,0,0,
0.4076926417914799,0.4453125,16,0,0,
0.8032129996339876,0.8203125,1,0,0,
0.029190522075533964,0.0078125,16,0,0,
0.5147424903043732,0.0,16,1,0,
0.7909706457568402,0.8046875,1,0,0,
0.8714471918789619,0.90625,1,0,0,
0.3466660971811396,0.359375,16,0,0,
0.21788695906647826,0.1796875,16,0,0,
0.42139479117159306,0.3671875,16,0,0,
0.1145936738172314,0.171875,16,0,0,
0.7894525206510077,0.7734375,1,0,0,
0.6401272427885556,0.0,16,1,0,
0.6597533322922343,0.0,16,1,0,
0.5739860973587974,0.0,16,1,0,
0.21344701955723544,0.1875,16,0,0,
0.9282027712019387,0.9296875,1,0,0,
